дата,Заголовок,Цена,Рейтинг,Пушкинская карта
2025-05-18,Любка,2100,9.2,0
2025-05-18,Летите и пилите,900,8.3,0
2025-05-18,Чиполлино. Рейв-сказка,1000,8.4,0
2025-05-18,Судный день,4000,9.5,0
2025-05-18,Остров сокровищ,700,9.1,1
2025-05-18,Дон Кихот,2400,8.2,0
2025-05-18,Красавица и Чудовище,1250,,0
2025-05-18,Эйнштейн. Что нам светит?,1600, ,0
2025-05-18,Профсоюз работников ада,2000,7.1,0
2025-05-18,Мизери,1000, ,0
2025-05-18,Мама Му. Счастливая корова,1300, ,0
2025-05-18,Игроки,1000, ,0
2025-05-18,Русалки,1300, ,0
2025-05-18,Миллионерша,800, ,0
2025-05-18,До свадьбы доживёт,3200,,0
2025-05-18,Самая красивая девушка в городе,1600,8.6,0
2025-05-18,Вдох,3200,,0
2025-05-18,Ошибки молодости,2000, ,0
2025-05-18,А я была его женой...,1200, ,0
2025-05-18,Искатели жемчуга,1500, ,1
2025-05-18,Истории из чемодана,1500, ,0
2025-05-18,Компромисс,750, ,0
2025-05-18,Дочери Павлова,1500,8.4,0
2025-05-18,Art,1800, ,0
2025-05-18,Сельская честь,700, ,0
2025-05-18,Демоны Врубеля,1300, ,0
2025-05-18,Я шагаю по Москве,1800, ,0
2025-05-18,Мы из мюзикла,1100, ,1
2025-05-18,Две дамо4ки в сторону Севера,600, ,0
2025-05-18,"Я была счастлива, счастлива, счастлива…",1500, ,0
2025-05-18,Зулали,1000, ,0
2025-05-18,Последние за стеной,800, ,0
2025-05-18,"Франкенштейн, или Современный Прометей",1200, ,0
2025-05-18,Постскриптум,1400, ,0
2025-05-18,Дни Турбиных,800, ,0
2025-05-18,Закулисье женщины,1200, ,0
2025-05-18,Вертинский. Исповедь Барона,1000, ,0
2025-05-18,Никто не приехал,1500, ,1
2025-05-18,Снегурочка,600,,1
2025-05-18,Ответ Гиппократа,3200,8.2,0
2025-05-18,Разыскивается Карлсон,700,,0
2025-05-18,Ужасы в цветочном магазине,500,8.3,0
2025-05-18,"Снежинка, которая не таяла",900, ,0
2025-05-18,Дюймовочка,600, ,0
2025-05-18,Дюймовочка,400, ,1
2025-05-18,Мистер Шерлок Холмс,1500, ,0
2025-05-18,Шерлок Холмс,800, ,0
2025-05-18,"Щелкунчик, Мари и Мышиный король",1100,,0
2025-05-18,Алиса в стране чудес,1000,,1
2025-05-18,Балда,600,,0
2025-05-19,Раневская. Одинокая насмешница,500,8.8,0
2025-05-19,Эдит Пиаф. Padam!,2000,9.6,0
2025-05-19,Аудиогид по Витебскому вокзалу,400,,0
2025-05-19,Моя дорогая Hélène,300,7.8,1
2025-05-19,О любви и дружбе,4000,7.8,0
2025-05-19,Гекатомба. Блокадный дневник,1500,,0
2025-05-19,Кармен,2500,7.2,0
2025-05-19,Винни-Пух,800,,0
2025-05-19,Профсоюз работников ада,2000,7.1,0
2025-05-19,До свадьбы доживёт,3200,,0
2025-05-19,Мистический детектив,3200,,0
2025-05-19,Дочери Павлова,1500,8.4,0
2025-05-19,Ответ Гиппократа,3200,8.2,0
2025-05-19,Дом,1000,8.9,0
2025-05-19,Контора,500,8.9,0
2025-05-19,Сказки Шута и Короля,2500,8.1,0
2025-05-19,Даниил Хармс. История СДЫГР АППР,800,,0
2025-05-19,Сила судьбы,800, ,0
2025-05-19,"Леонид Утёсов. Спасибо, сердце!",1300, ,0
2025-05-19,Концерт по физике,1000, ,0
2025-05-19,Оруэлл. Танго старых газет,800, ,0
2025-05-19,"Моё пристрастие к Диккенсу, или Детство в…",1500, ,0
2025-05-19,Прятки с Шекспиром,900, ,0
2025-05-19,Дон Кихот,500,7.3,0
2025-05-20,Мастер и Маргарита,1500,8.9,0
2025-05-20,Аудиогид по Витебскому вокзалу,400,,0
2025-05-20,Лодочник,2200,9.0,0
2025-05-20,Феерия-Буфф,1500,7.1,0
2025-05-20,Дикарь,300,8.4,0
2025-05-20,Сон в летнюю ночь,500,8.1,1
2025-05-20,Довлатов. Пять углов,1400,9.3,0
2025-05-20,Абанамат!,500, ,0
2025-05-20,Школа,900, ,0
2025-05-20,Пушкин. Стихи и мысли,1200, ,1
2025-05-20,Бал-маскарад,1000, ,1
2025-05-20,Пушкин. Сквозь метель,550, ,0
2025-05-20,Nice Work If You Can Get It. Хорошенькое дельце…,600,,0
2025-05-20,Рекомпозиция: истоки и практика,800,,0
2025-05-20,Профсоюз работников ада,2000,7.1,0
2025-05-20,До свадьбы доживёт,3200,,0
2025-05-20,The Demons,600,7.5,0
2025-05-20,Ответ Гиппократа,3200,8.2,0
2025-05-20,"Ты, я и правда",500,,1
2025-05-20,Третья карта,5950,7.6,0
2025-05-20,Вампилов. Оттепель,1600,8.9,0
2025-05-20,Бахчисарайский фонтан,500,8.9,0
2025-05-20,Петербургская чертовня,3750,8.9,0
2025-05-20,О мышах и людях,750,8.8,0
2025-05-20,Концерт по физике,1000, ,0
2025-05-20,Катапульта,1000, ,0
2025-05-20,Его женский род,1300, ,0
2025-05-20,Реникса,2000, ,1
2025-05-20,В овраге,500, ,0
2025-05-20,Горький/Толстой. Воспоминания,1500, ,0
2025-05-20,Риф,1500, ,0
2025-05-20,Гранатовый уксус,2000, ,0
2025-05-20,Цыплёнок,1100, ,0
2025-05-20,С Чарльзом Буковски за барной стойкой,1000, ,0
